"id","NAME","POS","TEAM","ADP","OVERALL","POSITION"
"97ac300b-1153-4a8d-ac58-47f85d74cd51","Pat Bryant","WR","DEN","171.6","181","WR75"
"530624e0-707b-487a-a29e-3d8eb2f85166","Malachi Fields","WR","NYG","192.6","182","WR76"
"9b6b5dd5-bcdf-4155-aa42-9b6c948e851e","Omar Cooper Jr.","WR","NYJ","170.5","183","WR77"
"9ff86d7b-4419-4124-b7f7-45e95948cd07","Malik Washington","WR","MIA","173.7","184","WR78"
"f78d35e4-b166-4fc2-8d37-90fe6c95d790","Chris Bell","WR","MIA","202.5","185","WR79"
"1a2115d5-cf2b-40f2-a512-e4d3fadc60e7","Isiah Pacheco","RB","DET","188.1","186","RB55"
"bade36dc-92a4-4fa5-8238-c737fbceaeb4","Greg Dulcich","TE","MIA","189.2","187","TE26"
"fa3e4ba2-240b-47b4-a67c-6890f336991b","Jaydon Blue","RB","DAL","179.7","188","RB56"
"8b12012c-b9e9-40d8-bb16-f4d696bb150f","Gunnar Helm","TE","TEN","197.8","189","TE27"
"13b2a45b-e31a-4bfd-b88d-a23adef97432","Jaylin Noel","WR","HST","200.5","190","WR80"
"076cc44c-a1fc-4a68-9985-1ddd4875623a","Charlie Kolar","TE","LAC","211.1","191","TE28"
"dbe588a1-cdaf-458e-a0b4-daa450f19bbf","Cooper Kupp","WR","SEA","212.1","192","WR81"
"2367117b-16b7-45a4-970d-9ed4cf3f7e38","Ray Davis","RB","BUF","188.0","193","RB57"
"ef187a90-1a0c-46af-9775-ebaa0fbbc6d1","Pat Freiermuth","TE","PIT","199.3","194","TE29"
"58ef4b7e-c240-4470-8313-46a066fd93b9","Emmett Johnson","RB","KC","189.4","195","RB58"
"392cac47-00b2-4189-b006-58ebc14b23bf","Jerry Jeudy","WR","CLV","203.1","196","WR82"
"76ded0dc-a456-4503-a04d-a4fb41aafbc8","Zachariah Branch","WR","ATL","196.5","197","WR83"
"db9d8880-ccab-480e-8fa3-d0e1c1fe0297","Aaron Rodgers","QB","PIT","184.5","198","QB28"
"4f3c5505-9940-4dfc-bc57-603892bccb40","Germie Bernard","WR","PIT","207.9","199","WR84"
"00fa8a29-92e1-4a0f-b4d1-8fab945cfcd3","Jacoby Brissett","QB","ARZ","200.1","200","QB29"
"e7734d2c-72f2-49da-91b8-6d09036794be","Oronde Gadsden II","TE","LAC","189.3","201","TE30"
"52947412-4003-4b6b-9660-5a2aa4ca1bd7","Calvin Ridley","WR","TEN","203.8","202","WR85"
"6ad094f1-6730-4225-872e-60def37f1efd","Evan Engram","TE","DEN","213.6","203","TE31"
"8d520a36-2e8c-4bd3-84d3-29708cef21ab","Isaac TeSlaa","WR","DET","202.4","204","WR86"
"0b218e62-7871-4c50-99aa-7268ab5c5c28","Fernando Mendoza","QB","LV","188.4","205","QB30"
"8f61d453-4928-4717-a57e-d8f8f21fa211","Alvin Kamara","RB","NO","186.3","206","RB59"
"ad69fd40-04a0-42d9-b8bc-b01b02910d5d","Justice Hill","RB","BLT","213.6","207","RB60"
"42b49068-33a3-4f43-9e66-005433044a40","Michael Mayer","TE","LV","214.5","208","TE32"
"c90c934c-9d10-4836-a138-d8ce1e2198d2","Braelon Allen","RB","NYJ","186.5","209","RB61"
"d580ee61-2ae9-4765-8065-85a4dc403af3","Mike Gesicki","TE","CIN","214.5","210","TE33"
"0c387d43-416a-4895-932c-6ffdf97ff68a","Rashod Bateman","WR","BLT","212.0","211","WR87"
"6687791c-ed7b-4d99-8a3a-a3b4b54e4324","Tyquan Thornton","WR","KC","214.8","212","WR88"
"ae5ffec8-ddb5-44de-bfbe-0ac08be1c2ae","Ted Hurst III","WR","TB","201.3","213","WR89"
"27ddd6aa-fac1-4c95-9d5d-31d471606308","Ty Johnson","RB","BUF","216.0","214","RB62"
"2b4755db-65b8-4ebb-a6ac-dcc87d34c16b","Kaelon Black","RB","SF","192.0","215","RB63"
"dc7ac01a-208f-4915-b6c2-a7f2766b7e1d","Colby Parkinson","TE","LA","212.9","216","TE34"
"9e0fd3fb-73c5-4f37-b250-1b768168bbf1","Antonio Williams","WR","WAS","214.6","217","WR90"
"ae3a35f7-dd56-4915-9dd6-d4b94c9e3b2e","Najee Harris","RB","NYG","204.1","218","RB64"
"e64c7835-a044-4748-9840-2cd5ae669189","Zavion Thomas","WR","CHI","215.8","219","WR91"
"ce461ae0-18b8-4c69-a198-2432c70bd0ea","George Holani","RB","SEA","214.2","220","RB65"
"ec328230-8186-4309-8242-ca1e6c806e58","Deshaun Watson","QB","CLV","214.8","221","QB31"
"c6997cdf-ca0f-4868-b272-566f4225afd0","Colbie Young","WR","CIN","215.8","222","WR92"
"de7bde14-cf9f-4b06-98f4-8c52c41bf649","David Njoku","TE","LAC","209.9","223","TE35"
"96e67ed5-d19b-461e-bd32-6ab1bb7a7697","Samaje Perine","RB","CIN","214.0","224","RB66"
"ad50c6db-b65f-462d-a607-ea75895ed062","Jahan Dotson","WR","ATL","215.8","225","WR93"
"37821dcf-6643-47a1-8168-6ee650e7624f","Bryce Lance","WR","NO","215.5","226","WR94"
"5d017d0c-0864-4cec-93d0-e5c68c76fca2","Andrei Iosivas","WR","CIN","215.2","227","WR95"
"3e027734-95ef-495e-bb49-43caf28f632d","Kaytron Allen","RB","WAS","213.1","228","RB67"
"4a119663-b322-43a7-bfd3-19662f4e21b2","Kimani Vidal","RB","LAC","209.9","229","RB68"
"e7ceb8ee-3f04-41d2-ade4-c91891883414","Troy Franklin","WR","DEN","215.2","230","WR96"
"3a013faa-4c46-49e8-bc5d-54d3a9803c1e","Sean Tucker","RB","TB","209.1","231","RB69"
"016f6b17-5612-436b-adf1-c717873cb230","James Conner","RB","ARZ","215.4","232","RB70"
"ee61b327-de07-483b-b872-eb251e6c2613","Darius Slayton","WR","NYG","215.7","233","WR97"
"bcf68759-6db5-45da-b6d9-859dc7a3ba4e","Darnell Mooney","WR","NYG","215.2","234","WR98"
"32bdcf83-11aa-4fef-857a-88419965dbc2","Jack Bech","WR","LV","215.2","235","WR99"
"3f6dd9e5-b0ac-46bc-bbc5-c6ce3f046a19","Emanuel Wilson","RB","SEA","215.8","236","RB71"
"5c1416ec-0b1b-47d6-ad15-6dc75e170caf","Jordan James","RB","SF","214.5","237","RB72"
"088cc763-b559-43bc-a5fa-899f811452ff","Tua Tagovailoa","QB","ATL","214.1","238","QB32"
"02dccdb4-7ecd-4ee5-9fd8-1531213ce3c6","Chris Brooks","RB","GB","216.0","239","RB73"
"1667e6e5-2d54-4f7c-80fc-94b400a81d5a","Demond Claiborne","RB","MIN","215.3","240","RB74"
"4a2d05c3-cb53-441f-b01f-869caa3d3db1","Michael Penix Jr.","QB","ATL","213.3","241","QB33"
"2cb27cb4-b51e-4a38-8423-6d72866efedb","Malik Benson","WR","LV","215.8","242","WR100"
"4b055bc7-6f2a-4ed2-8027-9e9d73a98adf","Kirk Cousins","QB","LV","215.5","243","QB34"
